Model,Order/Weights,MAE,RMSE,MAPE,DA,total_buy_profit,total_sell_profit,total_profit,profit_per_trade,trading_accuracy
GRU_BASE,N/A,2.225560188293457,2.5751090049743652,2.119950018823147,44.827586206896555,0.0777130126953125,-22.66630554199233,-22.588592529297017,-0.09736462297110783,44.827586206896555
"ARIMA(1, 1, 1)","(1, 1, 1)",1.0763091983214983,1.3473154450588447,1.0380592225194933,49.137931034482754,13.566406250000057,-9.177612304687585,4.388793945312472,0.018917215281519274,49.137931034482754
"ARIMA(2, 1, 2)","(2, 1, 2)",1.0800376580905202,1.349656923536414,1.0411130373934412,50.0,13.450531005859403,-9.293487548828239,4.157043457031165,0.017918290763065364,50.0
"ARIMA(5, 1, 0)","(5, 1, 0)",1.0784758196376656,1.352081945886545,1.040548804134996,50.43103448275862,15.684806823730511,-7.059211730957131,8.62559509277338,0.03717928919298871,50.43103448275862
"Ensemble (GRU*0.5 + ARIMA(1, 1, 1)*0.5)","GRU: 0.5, ARIMA: 0.5",1.458327236050121,1.7666936328982359,1.3953405107309067,44.396551724137936,-1.604759216308537,-24.34877777099618,-25.953536987304716,-0.1118686939107962,44.396551724137936
"Ensemble (GRU*0.7 + ARIMA(1, 1, 1)*0.3)","GRU: 0.7, ARIMA: 0.3",1.7281950247021,2.0641507547778644,1.6498369670127866,43.96551724137931,-2.006172180175753,-24.750190734863395,-26.756362915039148,-0.1153291504958584,43.96551724137931
"Ensemble (GRU*0.3 + ARIMA(1, 1, 1)*0.7)","GRU: 0.3, ARIMA: 0.7",1.2477877589771,1.527855180915121,1.1966851008974437,47.8448275862069,4.180664062500057,-18.563354492187585,-14.382690429687528,-0.06199435530037728,47.8448275862069
"Ensemble (GRU*0.5 + ARIMA(2, 1, 2)*0.5)","GRU: 0.5, ARIMA: 0.5",1.4549077689072534,1.762769512033021,1.3918915999879848,44.396551724137936,-1.604759216308537,-24.34877777099618,-25.953536987304716,-0.1118686939107962,44.396551724137936
"Ensemble (GRU*0.7 + ARIMA(2, 1, 2)*0.3)","GRU: 0.7, ARIMA: 0.3",1.7257087391545436,2.061146892939724,1.6474302144385082,44.396551724137936,-0.7866363525390341,-23.530654907226676,-24.31729125976571,-0.1048159106024384,44.396551724137936
"Ensemble (GRU*0.3 + ARIMA(2, 1, 2)*0.7)","GRU: 0.3, ARIMA: 0.7",1.2450027120129599,1.5246231027095636,1.1937077637655062,46.55172413793103,2.0203781127930114,-20.72364044189463,-18.70326232910162,-0.08061751003923112,46.55172413793103
"Ensemble (GRU*0.5 + ARIMA(5, 1, 0)*0.5)","GRU: 0.5, ARIMA: 0.5",1.4562905648646782,1.7634250891918415,1.3935540244125169,44.827586206896555,-0.38522338867181816,-23.12924194335946,-23.51446533203128,-0.1013554540173762,44.827586206896555
"Ensemble (GRU*0.7 + ARIMA(5, 1, 0)*0.3)","GRU: 0.7, ARIMA: 0.3",1.7269869900082695,2.061427201798207,1.6488190415288932,44.396551724137936,-0.7866363525390341,-23.530654907226676,-24.31729125976571,-0.1048159106024384,44.396551724137936
"Ensemble (GRU*0.3 + ARIMA(5, 1, 0)*0.7)","GRU: 0.3, ARIMA: 0.7",1.241977506602935,1.5258610411360707,1.1918181164585495,45.689655172413794,0.9342651367187926,-21.80975341796885,-20.875488281250057,-0.08998055293642265,45.689655172413794
